SubjCode,OnEvent,ISI
P501,NH7+,33
P501,NH7+,34
P501,SF7+,34
P501,NH7+,34
P501,SF7+,34
P501,NH7+,33
P501,NH7+,33
P501,NH7+,33
P501,NF7+,33
P501,SH7+,33
P501,NF7+,33
P501,NH7+,34
P501,NF7+,33
P501,NH7+,33
P501,NF7+,34
P501,NH7+,33
P501,SF7+,33
P501,NF7+,33
P501,NH7+,34
P501,SF7+,34
P501,NF7+,33
P501,NF7+,34
P501,NF7+,34
P501,SH7+,33
P501,NH7+,33
P501,NF7+,33
P501,SF7+,33
P501,NF7+,33
P501,NF7+,33
P501,SH7+,33
P501,NH7+,33
P501,NF7+,34
P501,NF7+,33
P501,NH7+,33
P501,NF7+,34
P501,NH7+,33
P501,NF7+,33
P501,SH7+,33
P501,NF7+,33
P501,NF7+,33
P501,NF7+,34
P501,SH7+,34
P501,NH7+,33
P501,SF7+,34
P501,NH7+,34
P501,NF7+,33
P501,NF7+,33
P501,NF7+,34
P501,SF7+,33
P501,SH7+,34
P501,NF7+,33
P501,NH7+,34
P501,NF7+,33
P501,SH7+,33
P501,SF7+,34
P501,SF7+,33
P501,NF7+,33
P501,NH7+,33
P501,NH7+,33
P501,SH7+,33
P501,NF7+,33
P501,NH7+,34
P501,NH7+,33
P501,NH7+,33
P501,NH7+,33
P501,NH7+,34
P501,NH7+,33
P501,SF7+,34
P501,NF7+,33
P501,NF7+,33
P501,NH7+,33
P501,SH7+,33
P501,NF7+,34
P501,NH7+,33
P501,NF7+,33
P501,NF7+,33
P501,NH7+,33
P501,NF7+,34
P501,NF7+,33
P501,NH7+,34
P501,SF7+,34
P501,NH7+,34
P501,NF7+,34
P501,NH7+,33
P501,NH7+,33
P501,NH7+,33
P501,NF7+,34
P501,NH7+,33
P501,NF7+,33
P501,NF7+,33
P501,NH7+,34
P501,NH7+,33
P501,NH7+,33
P501,SF7+,33
P501,NF7+,33
P501,NH7+,34
P501,NH7+,33
P501,NF7+,33
P501,NF7+,33
P501,NF7+,33
P501,NH7+,33
P501,NF7+,33
P501,NF7+,34
P501,NH7+,33
P501,NH7+,33
P501,SF7+,34
P501,NF7+,34
P501,NF7+,33
P501,NH7+,33
P501,SH7+,34
P501,NF7+,33
P501,NH7+,33
P501,NF7+,33
P501,NH7+,34
P501,NH7+,34
P501,NF7+,33
P501,SF7+,33
P501,NF7+,33
P501,SH7+,33
P501,NF7+,33
P501,NH7+,34
P501,NH7+,33
P501,NF7+,33
P501,NF7+,33
P501,SF7+,34
P501,NF7+,34
P501,NH7+,33
P501,SF7+,33
P501,NF7+,33
P501,SF7+,34
P501,SH7+,34
P501,NF7+,33
P501,NF7+,33
P501,NH7+,33
P501,NF7+,33
P501,NF7+,33
P501,NF7+,33
P501,SH7+,33
P501,NF7+,33
P501,NH7+,34
P501,NF7+,33
P501,NF7+,33
P501,NH7+,33
P501,NH7+,33
P501,SH7+,33
P501,NH7+,33
P501,NH7+,33
P501,NH7+,33
P501,NH7+,33
P501,NF7+,33
P501,NF7+,34
P501,NH7+,33
P501,NH7+,33
P501,NH7+,34
P501,NF7+,33
P501,NH7+,34
P501,NF7+,34
P501,NH7+,34
P501,NF7+,33
P501,NF7+,34
P501,NH7+,34
P501,NH7+,34
P501,NF7+,34
P501,SH7+,33
P501,NF7+,33
P501,SH7+,33
P501,NF7+,33
P501,NF7+,34
P501,SH7+,33
P501,NH7+,33
P501,NH7+,34
P501,SH7+,34
P501,SH7+,34
P501,NH7+,34
P501,NF7+,33
P501,SF7+,34
P501,NF7+,32
P501,NF7+,33
P501,NF7+,33
P501,SF7+,33
P501,NH7+,33
P501,SF7+,34
P501,NH7+,34
P501,NH7+,33
P501,SF7+,33
P501,NH7+,33
P501,SH7+,33
P501,SH7+,34
P501,NH7+,33
P501,NH7+,33
P501,NH7+,33
P501,NH7+,34
P501,NH7+,34
P501,NF7+,33
P501,NF7+,33
P501,NH7+,33
P501,NH7+,34
P501,SH7+,34
P501,NH7+,33
P501,SF7+,33
P501,NH7+,34
P501,NF7+,34
P501,SH7+,33
P501,NF7+,33
P501,NH7+,33
P501,NH7+,34
P501,NF7+,33
P501,NH7+,34
P501,NF7+,33
P501,NF7+,34
P501,NF7+,33
P501,SH7+,33
P501,SF7+,33
P501,SF7+,33
P501,NF7+,33
P501,NH7+,33
P501,NH7+,33
P501,NH7+,34
P501,NF7+,33
P501,NF7+,33
P501,SF7+,34
P501,NF7+,33
P501,NH7+,34
P501,NH7+,33
P501,NH7+,33
P501,NF7+,33
P501,NH7+,33
P501,NF7+,33
P501,SH7+,33
P501,SH7+,33
P501,SF7+,34
P501,NF7+,34
P501,NH7+,33
P501,NF7+,33
P501,SH7+,34
P501,SH7+,33
P501,NF7+,33
P501,NF7+,33
P501,SF7+,33
P501,NH7+,34
P501,NH7+,34
P501,NH7+,33
P501,SF7+,33
P501,NF7+,34
P501,NH7+,33
P501,SF7+,34
P501,SF7+,33
P501,NH7+,33
P501,SH7+,34
P501,NH7+,34
P501,NF7+,34
P501,NF7+,33
P501,NH7+,34
P501,NF7+,33
P501,NH7+,33
P501,NF7+,34
P501,NF7+,33
P501,NH7+,33
P501,NF7+,34
P501,NH7+,33
P501,SF7+,33
P501,NH7+,33
P501,NH7+,34
P501,SH7+,34
P501,NH7+,33
P501,SF7+,33
P501,SF7+,33
P501,SH7+,34
P501,NF7+,33
P501,NF7+,33
P501,SF7+,33
P501,NH7+,34
P501,NF7+,33
P501,SF7+,34
P501,NH7+,34
P501,NF7+,33
P501,NF7+,34
P501,SF7+,33
P501,NF7+,34
P501,NF7+,34
P501,NF7+,33
P501,NH7+,33
P501,SF7+,33
P501,SH7+,34
P501,NF7+,34
P501,NF7+,34
P501,NH7+,33
P501,NF7+,34
P501,NH7+,33
P501,NH7+,33
P501,NH7+,33
P501,SF7+,33
P501,SF7+,34
P501,NH7+,33
P501,NH7+,34
P501,NH7+,34
P501,SH7+,33
P501,SH7+,33
P501,NF7+,34
P501,SH7+,34
P501,SF7+,33
P501,NF7+,33
P501,SH7+,34
P501,NH7+,33
P501,SH7+,33
P501,NF7+,33
P501,NF7+,33
P501,NH7+,33
P501,NF7+,33
P501,NH7+,33
P501,SH7+,33
P501,NH7+,34
P501,NH7+,34
P501,NF7+,33
P501,NF7+,34
P501,NH7+,33
P501,NH7+,33
P501,SH7+,33
P501,NH7+,34
P501,NF7+,34
P501,NF7+,33
P501,SH7+,34
P501,SF7+,33
P501,SF7+,33
P501,NF7+,33
P501,SF7+,34
P501,NH2+,217
P501,NH7+,34
P501,NF2+,216
P501,NF2+,217
P501,NF2+,216
P501,SF7+,33
P501,NH7+,33
P501,SH2+,217
P501,SH7+,34
P501,SH2+,217
P501,NF7+,34
P501,NH2+,217
P501,SF7+,33
P501,NH2+,217
P501,SF7+,33
P501,SH2+,216
P501,NH2+,217
P501,NH2+,217
P501,NF2+,217
P501,NF2+,217
P501,NH7+,33
P501,SH2+,216
P501,NH2+,217
P501,SH7+,34
P501,NF7+,33
P501,NH2+,217
P501,NF7+,33
P501,SH2+,217
P501,SF2+,217
P501,SH7+,33
P501,SF7+,33
P501,SH2+,217
P501,NH2+,217
P501,NF7+,34
P501,SH2+,217
P501,NF2+,216
P501,NH7+,33
P501,SF7+,33
P501,NH2+,217
P501,SF2+,217
P501,SH2+,217
P501,NF7+,34
P501,NF2+,216
P501,SF2+,217
P501,SH2+,217
P501,SH7+,34
P501,NF2+,217
P501,NF7+,33
P501,NH2+,217
P501,SH7+,33
P501,NH7+,33
P501,SH7+,33
P501,SF2+,217
P501,NH7+,34
P501,NH2+,217
P501,SF2+,217
P501,NF2+,217
P501,NF7+,34
P501,NF7+,34
P501,NH7+,33
P501,SF7+,33
P501,SH7+,33
P501,NF7+,33
P501,NF2+,217
P501,NH7+,33
P501,SF7+,33
P501,NH2+,216
P501,SH7+,33
P501,NF7+,33
P501,SF7+,33
P501,SH2+,217
P501,NF2+,216
P501,NH7+,33
P501,NH7+,33
P501,SH2+,217
P501,NF7+,34
P501,NF2+,217
P501,NH7+,33
P501,SF7+,34
P501,SH2+,216
P501,SH7+,33
P501,SH2+,217
P501,NF7+,33
P501,NH7+,34
P501,SF7+,33
P501,SF2+,216
P501,SF2+,216
P501,SF7+,33
P501,NH2+,217
P501,SF7+,33
P501,SH2+,217
P501,NH2+,217
P501,SH2+,216
P501,NH7+,34
P501,NH7+,33
P501,NF2+,216
P501,SF2+,216
P501,SH7+,33
P501,SF2+,216
P501,NH7+,33
P501,NH2+,217
P501,SH7+,34
P501,NF7+,33
P501,NH7+,33
P501,SH7+,33
P501,NH7+,33
P501,NF7+,33
P501,SH7+,34
P501,NH2+,217
P501,SH2+,217
P501,NH2+,217
P501,SH2+,217
P501,SF2+,217
P501,NH7+,34
P501,NH7+,33
P501,SH2+,217
P501,SF2+,217
P501,SH7+,33
P501,SF7+,33
P501,NH2+,216
P501,SH7+,34
P501,NH7+,34
P501,NH2+,217
P501,SF7+,33
P501,SH2+,217
P501,NF7+,34
P501,NF7+,34
P501,SH7+,33
P501,SH2+,216
P501,NH2+,216
P501,NF2+,217
P501,SH2+,217
P501,NF2+,217
P501,SH7+,33
P501,SF7+,33
P501,NH2+,217
P501,NF7+,33
P501,NH7+,33
P501,SH2+,217
P501,SH2+,216
P501,NF2+,216
P501,SF7+,33
P501,SF7+,33
P501,NF2+,217
P501,SH2+,216
P501,SH2+,216
P501,SF2+,217
P501,NF7+,34
P501,NH2+,216
P501,NF2+,217
P501,SH7+,32
P501,NF2+,217
P501,SF7+,33
P501,SF7+,34
P501,NF7+,33
P501,SF7+,33
P501,NF2+,216
P501,NF7+,34
P501,NH2+,217
P501,NH7+,34
P501,NF7+,33
P501,SF2+,217
P501,NH2+,217
P501,SF2+,217
P501,SF2+,216
P501,SH7+,33
P501,NH2+,217
P501,SH7+,33
P501,NF7+,33
P501,SH2+,216
P501,SH7+,33
P501,SF2+,217
P501,NH2+,217
P501,SH2+,217
P501,NF2+,217
P501,NH7+,34
P501,NH7+,34
P501,SF2+,216
P501,NF7+,33
P501,SF2+,217
P501,NF7+,33
P501,NH7+,33
P501,NF7+,33
P501,NH2+,217
P501,SF2+,217
P501,NH2+,217
P501,SF2+,216
P501,NH2+,217
P501,SF2+,216
P501,NF7+,33
P501,NH2+,217
P501,SF7+,34
P501,SF7+,33
P501,SH7+,33
P501,SF7+,33
P501,NH7+,34
P501,SH7+,33
P501,NF2+,216
P501,NH7+,33
P501,NH7+,33
P501,NH2+,217
P501,SF7+,33
P501,SF2+,216
P501,SF7+,33
P501,SH7+,33
P501,SF7+,33
P501,SH7+,33
P501,NH7+,33
P501,SF2+,217
P501,SH2+,217
P501,NF7+,34
P501,NH7+,33
P501,SH7+,33
P501,NF7+,34
P501,NH2+,217
P501,NH2+,217
P501,SF2+,217
P501,NH2+,217
P501,NF7+,33
P501,SF2+,216
P501,NF2+,217
P501,NF2+,217
P501,NF2+,217
P501,SF2+,217
P501,SF2+,216
P501,SF2+,216
P501,NF2+,217
P501,NH7+,33
P501,SH7+,34
P501,SF2+,217
P501,NF2+,217
P501,SF2+,217
P501,SH2+,217
P501,SH7+,34
P501,SH7+,34
P501,SF7+,33
P501,NH7+,34
P501,SH7+,34
P501,SH2+,216
P501,SH2+,217
P501,SH2+,216
P501,SH7+,33
P501,SH7+,33
P501,NH7+,33
P501,SF7+,34
P501,SF2+,216
P501,NF7+,33
P501,NF2+,217
P501,SF2+,217
P501,NH2+,217
P501,SH2+,217
P501,NH2+,217
P501,NH7+,34
P501,SF2+,216
P501,NF2+,216
P501,NF2+,217
P501,NH7+,33
P501,NF7+,34
P501,SH7+,34
P501,SF7+,33
P501,NH7+,34
P501,SH7+,33
P501,SH2+,216
P501,SF2+,217
P501,SH7+,34
P501,NF2+,216
P501,SF7+,33
P501,SH2+,217
P501,SF2+,217
P501,NF7+,33
P501,NH2+,217
P501,SH7+,34
P501,SF7+,33
P501,SH7+,33
P501,SH7+,33
P501,SF7+,33
P501,NF2+,217
P501,NF7+,33
P501,SH7+,33
P501,SH2+,217
P501,NF2+,217
P501,NH7+,33
P501,SF7+,33
P501,NH7+,33
P501,NF7+,34
P501,SF7+,33
P501,SF2+,216
P501,NH2+,217
P501,NF2+,217
P501,SF7+,33
P501,NF7+,34
P501,NH7+,34
P501,SF2+,216
P501,NF2+,216
P501,SF7+,33
P501,SH7+,34
P501,NH2+,216
P501,SF2+,216
P501,SH2+,216
P501,SH2+,217
P501,NF7+,34
P501,NF2+,217
P501,NF2+,216
P501,SF2+,217
P501,NF7+,33
P501,NH2+,216
P501,NF7+,34
P501,NF2+,217
P501,NF2+,216
P501,NF7+,33
P501,SH2+,217
P501,SF7+,34
P501,NF2+,216
P501,NH7+,33
P501,SF2+,217
P501,SH2+,216
P501,SH7+,33
P501,SH2+,217
P501,SH7+,33
P501,NF7+,33
P501,NH7+,33
P501,SF7+,33
P501,NF2+,217
P501,NF2+,217
P501,SF2+,216
P501,SH2+,217
P501,SH2+,217
P501,SH7+,33
P501,SH7+,33
P501,NF7+,33
P501,NF2+,217
P501,SH2+,217
P501,NF2+,217
P501,SH2+,217
P501,SH7+,33
P501,SH7+,33
P501,SH2+,216
P501,SF2+,217
P501,SH2+,217
P501,SF2+,217
P501,NF2+,216
P501,SF7+,34
P501,SF7+,33
P501,NF7+,33
P501,NH2+,216
P501,NH2+,216
P501,NH2+,217
P501,NH2+,217
P501,NH2+,217
P501,SF2+,217
P501,SH2+,217
P501,SF2+,217
P501,SF2+,217
P501,SH7+,33
P501,NF7+,34
P501,NH7+,33
P501,SF7+,34
P501,NH2+,216
P501,SF7+,34
P501,NF2+,217
P501,SF2+,217
P501,SH2+,217
P501,NH2+,217
P501,SF7+,33
P501,NH2+,216
P501,NF2+,217
P501,SH2+,217
P501,NH7+,33
P501,NH7+,34
P501,SH7+,34
P501,NF7+,33
P501,NF2+,217
P501,SF2+,217
P501,SH2+,216
P501,NF7+,34
P501,SH7+,34
P501,NH2+,216
P501,NH2+,217
P501,NF2+,217
P501,NH7+,34
P501,SH2+,217
P501,SF7+,33
P501,SF7+,33
P501,SF7+,34
P501,NH7+,33
P501,NH7+,34
P501,SF2+,217
P501,NF7+,33
P501,SH2+,217
P501,SF2+,217
P501,NF7+,34
P501,SF7+,33
P501,NH2+,216
P501,NH2+,216
P501,NH2+,217
P501,NH7+,33
P501,NF2+,217
P501,NH2+,217
P501,SF7+,33
P501,SH2+,217
P501,SH7+,33
P501,SH7+,33
P501,SF7+,34
P501,NH7+,34
P501,SF7+,34
P501,NH2+,217
P501,NH2+,216
P501,NF7+,33
P501,SF2+,216
P501,SF2+,217
P501,SH7+,33
P501,SH7+,34
P501,NF2+,217
P501,NF2+,217
P501,SF2+,216
P501,SH2+,217
P501,SF2+,217
P501,SF7+,34
P501,NH7+,33
P501,NF7+,33
P501,SF7+,33
P501,NF2+,217
P501,NF7+,33
P501,SH2+,217
P501,SF2+,216
P501,SH2+,217
P501,SH2+,217
P501,SF7+,33
P501,NH7+,34
P501,SF7+,33
P501,NF7+,33
P501,NH7+,33
P501,NH7+,33
P501,NH2+,217
P501,SH7+,33
P501,NH2+,216
P501,NF2+,216
P501,NH2+,217
P501,SF2+,217
P501,NF7+,34
P501,NF2+,217
P501,SH2+,217
P501,SH7+,33
P501,SH2+,217
P501,NF7+,34
P501,SH7+,34
P501,NH7+,33
P501,SH7+,33
P501,SH2+,216
P501,SH2+,217
P501,NF7+,34
P501,SF2+,217
P501,NF7+,34
P501,NF7+,33
P501,SF2+,216
P501,NH2+,217
P501,NF2+,217
P501,SF7+,33
P501,NH2+,216
P501,SF7+,34
P501,NH2+,216
P501,NH7+,34
P501,SH7+,34
P501,NH7+,34
P501,SF2+,216
P501,NF7+,34
P501,SF2+,216
P501,NH2+,217
P501,SH7+,33
P501,NF7+,33
P501,SH2+,217
P501,NF7+,34
P501,NH2+,216
P501,SF2+,217
P501,NH7+,33
P501,SF2+,217
P501,SH7+,33
P501,SF2+,217
P501,SH7+,34
